Accession,Source Type,Source Date,Geography,Is Origin?,Elevation (meters),Latitude,Longitude,Uncertainty,Taxon
PI 526785,Collection source event,4/6/1985,Zimbabwe,Y,1290,-17.63333333,31.8,2000,Sorghum bicolor subsp. bicolor
PI 526786,Collection source event,4/6/1985,Zimbabwe,Y,1290,-17.63333333,31.8,2000,Sorghum bicolor subsp. bicolor
PI 526787,Collection source event,4/6/1985,Zimbabwe,Y,1290,-17.63333333,31.8,2000,Sorghum bicolor subsp. bicolor
PI 526788,Collection source event,4/6/1985,Zimbabwe,Y,1290,-17.38333333,32.25,2000,Sorghum bicolor subsp. bicolor
PI 526789,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526790,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526791,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526792,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526793,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526794,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526795,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526796,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526798,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526799,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526800,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526802,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526803,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526804,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526806,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526807,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526808,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526810,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526811,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526812,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526814,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526815,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526816,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526818,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526819,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526820,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526821,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526822,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526823,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526824,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526825,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526826,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526827,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526828,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526829,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526830,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526831,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526832,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526833,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
