Accession,Source Type,Source Date,Geography,Is Origin?,Elevation (meters),Latitude,Longitude,Uncertainty,Taxon
PI 527254,Collection source event,3/28/1985,Zimbabwe,Y,1150,-19.91666667,32.33333333,2000,Sorghum bicolor subsp. bicolor
PI 610680,Collection source event,,"China, Jilin Sheng",Y,,43.83333333,125.3333333,2000,Sorghum bicolor subsp. bicolor
PI 610722,Collection source event,,"China, Shanxi Sheng",Y,,38.53333333,112.9833333,2000,Sorghum bicolor subsp. bicolor
PI 462039,Collection source event,11/20/1980,Yemen,Y,1550,13.61666667,44.11666667,2000,Sorghum bicolor subsp. bicolor
PI 462053,Collection source event,11/25/1980,Yemen,Y,30,14.63333333,43.05,2000,Sorghum bicolor subsp. bicolor
PI 462057,Collection source event,11/28/1980,Yemen,Y,170,13.28333333,43.5,2000,Sorghum bicolor subsp. bicolor
PI 462089,Collection source event,12/11/1980,Yemen,Y,900,14.23333333,43.73333333,2000,Sorghum bicolor subsp. bicolor
PI 481901,Collection source event,11/13/1981,Sudan,Y,800,13.45,22.71666667,2000,Sorghum bicolor subsp. bicolor
PI 482638,Collection source event,4/19/1982,Zimbabwe,Y,800,-20.41666667,31.05,2000,Sorghum bicolor subsp. bicolor
PI 482650,Collection source event,4/20/1982,Zimbabwe,Y,600,-20.93333333,30.63333333,2000,Sorghum bicolor subsp. bicolor
PI 482680,Collection source event,4/22/1982,Zimbabwe,Y,400,-22.68333333,31.31666667,2000,Sorghum bicolor subsp. bicolor
PI 482696,Collection source event,4/30/1982,Zimbabwe,Y,720,-20.45,31.33333333,2000,Sorghum bicolor subsp. bicolor
PI 482738,Collection source event,5/5/1982,Zimbabwe,Y,750,-20.06666667,32.83333333,2000,Sorghum bicolor subsp. bicolor
PI 482818,Collection source event,5/28/1982,Zimbabwe,Y,850,-20.43333333,30.28333333,2000,Sorghum bicolor subsp. bicolor
PI 482830,Collection source event,6/2/1982,Zimbabwe,Y,1190,-18.01666667,32.65,2000,Sorghum bicolor subsp. bicolor
PI 482906,Collection source event,6/30/1982,Zimbabwe,Y,1020,-16.98333333,31.51666667,2000,Sorghum bicolor subsp. bicolor
PI 482918,Collection source event,7/1/1982,Zimbabwe,Y,680,-16.66666667,32.23333333,2000,Sorghum bicolor subsp. bicolor
PI 482922,Collection source event,7/2/1982,Zimbabwe,Y,450,-16.2,31.7,2000,Sorghum bicolor subsp. bicolor
PI 482963,Collection source event,7/9/1982,Zimbabwe,Y,1100,-17.78333333,31.25,2000,Sorghum bicolor subsp. bicolor
PI 490311,Collection source event,7/10/1980,Kenya,Y,,0.3,34.76666667,2000,Sorghum bicolor subsp. bicolor
PI 494898,Collection source event,6/20/1982,Zambia,Y,,-13.75,25.75,2000,Sorghum bicolor subsp. bicolor
PI 500967,Collection source event,5/5/1981,Zambia,Y,,-17.75,25.53333333,2000,Sorghum bicolor subsp. bicolor
PI 500974,Collection source event,5/5/1981,Zambia,Y,1020,-17.65,25.18333333,2000,Sorghum bicolor subsp. bicolor
PI 501014,Collection source event,5/15/1981,Zambia,Y,,-14.9,23.26666667,2000,Sorghum bicolor subsp. bicolor
PI 505719,Collection source event,6/26/1984,Zambia,Y,420,-28.53333333,16.25,2000,Sorghum bicolor subsp. bicolor
PI 505727,Collection source event,6/26/1984,Zambia,Y,510,-27.96666667,16.53333333,2000,Sorghum bicolor subsp. bicolor
PI 506017,Collection source event,12/11/1983,Togo,Y,,11.96666667,0.11666667,2000,Sorghum bicolor subsp. bicolor
PI 506035,Collection source event,12/13/1983,Togo,Y,,10.65,0.18333333,2000,Sorghum bicolor subsp. bicolor
PI 506071,Collection source event,12/16/1983,Togo,Y,,9.36666667,1.33333333,2000,Sorghum bicolor subsp. bicolor
PI 506127,Collection source event,2/3/1984,Togo,Y,,6.88333333,0.85,2000,Sorghum bicolor subsp. bicolor
PI 506131,Collection source event,2/3/1984,Togo,Y,,6.78333333,1.16666667,2000,Sorghum bicolor subsp. bicolor
PI 510736,Collection source event,1979,Cameroon,Y,,10.78333333,14.13333333,2000,Sorghum bicolor subsp. bicolor
PI 511062,Collection source event,,Yemen,Y,1500,13.58333333,44.01666667,2000,Sorghum bicolor subsp. bicolor
PI 511077,Collection source event,,Yemen,Y,200,14.36666667,43.38333333,2000,Sorghum bicolor subsp. bicolor
PI 511119,Collection source event,,Yemen,Y,1770,16.05,43.7,2000,Sorghum bicolor subsp. bicolor
PI 524552,Collection source event,1977,Sudan,Y,,-12.2,24.43333333,2000,Sorghum bicolor subsp. bicolor
PI 526618,Collection source event,3/29/1985,Zimbabwe,Y,1000,-19.63333333,31.5,2000,Sorghum bicolor subsp. bicolor
PI 526713,Collection source event,4/5/1985,Zimbabwe,Y,1400,-18.53333333,32.16666667,2000,Sorghum bicolor subsp. bicolor
PI 526717,Collection source event,4/5/1985,Zimbabwe,Y,1350,-19.08333333,32.63333333,2000,Sorghum bicolor subsp. bicolor
PI 526755,Collection source event,4/6/1985,Zimbabwe,Y,1290,-17.36666667,30.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526771,Collection source event,4/6/1985,Zimbabwe,Y,1290,-16.66666667,30.66666667,2000,Sorghum bicolor subsp. bicolor
PI 526813,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526843,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526851,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526859,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526955,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526985,Collection source event,5/2/1985,Zimbabwe,Y,1100,-19.76666667,27.75,2000,Sorghum bicolor subsp. bicolor
PI 526997,Collection source event,5/2/1985,Zimbabwe,Y,1000,-18.91666667,27.76666667,2000,Sorghum bicolor subsp. bicolor
PI 527039,Collection source event,4/1/1985,Zimbabwe,Y,1200,-18.58333333,31.58333333,2000,Sorghum bicolor subsp. bicolor
PI 527077,Collection source event,4/3/1985,Zimbabwe,Y,1500,-18.96666667,32.66666667,2000,Sorghum bicolor subsp. bicolor
PI 527089,Collection source event,4/3/1985,Zimbabwe,Y,1600,-18.25,32.75,2000,Sorghum bicolor subsp. bicolor
PI 527093,Collection source event,4/3/1985,Zimbabwe,Y,1500,-18.36666667,30.66666667,2000,Sorghum bicolor subsp. bicolor
PI 527139,Collection source event,4/3/1985,Zimbabwe,Y,1500,-20.2,32.6,2000,Sorghum bicolor subsp. bicolor
PI 527173,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527594,Collection source event,6/14/1985,Rwanda,Y,1460,-2.21666667,30.03333333,2000,Sorghum bicolor subsp. bicolor
PI 527613,Collection source event,6/22/1985,Rwanda,Y,1500,-2.08333333,29.98333333,2000,Sorghum bicolor subsp. bicolor
PI 542641,Collection source event,6/19/1988,Algeria,Y,1700,23.5,6.16666667,2000,Sorghum bicolor subsp. bicolor
PI 549174,Collection source event,11/20/1987,Mauritania,Y,150,15.66666667,-9.73333333,2000,Sorghum bicolor subsp. bicolor
PI 549201,Collection source event,11/27/1987,Chad,Y,470,10.16666667,19.83333333,2000,Sorghum bicolor subsp. bicolor
PI 537086,Collection source event,11/18/1986,Niger,Y,1600,17.71666667,8.73333333,2000,Sorghum bicolor subsp. bicolor
PI 482968,Collection source event,7/2/1982,Zimbabwe,Y,580,-16.35,31.76666667,2000,Sorghum spp.
PI 527256,Collection source event,4/3/1985,Zimbabwe,Y,1400,-19.66666667,32.91666667,2000,Sorghum spp.
PI 610676,Collection source event,,"China, Jilin Sheng",Y,,43.83333333,125.3333333,2000,Sorghum bicolor subsp. bicolor
PI 610717,Collection source event,,"China, Shanxi Sheng",Y,,36.85,111.7666667,2000,Sorghum bicolor subsp. bicolor
PI 610726,Collection source event,,"China, Shanxi Sheng",Y,,39.43333333,111.4833333,2000,Sorghum bicolor subsp. bicolor
PI 610730,Collection source event,,"China, Shanxi Sheng",Y,,37.26666667,111.7833333,2000,Sorghum bicolor subsp. bicolor
PI 462042,Collection source event,11/20/1980,Yemen,Y,1800,13.81666667,44.16666667,2000,Sorghum bicolor subsp. bicolor
PI 462046,Collection source event,11/23/1980,Yemen,Y,1000,15.08333333,43.76666667,2000,Sorghum bicolor subsp. bicolor
PI 462050,Collection source event,11/24/1980,Yemen,Y,180,15.23333333,43.18333333,2000,Sorghum bicolor subsp. bicolor
PI 462061,Collection source event,11/28/1980,Yemen,Y,180,13.26666667,43.51666667,2000,Sorghum bicolor subsp. bicolor
PI 462064,Collection source event,11/29/1980,Yemen,Y,1020,13.53333333,44.41666667,2000,Sorghum bicolor subsp. bicolor
PI 462092,Collection source event,12/11/1980,Yemen,Y,880,14.28333333,43.6,2000,Sorghum bicolor subsp. bicolor
PI 462100,Collection source event,12/13/1980,Yemen,Y,1440,14.1,44.18333333,2000,Sorghum bicolor subsp. bicolor
PI 462103,Collection source event,12/15/1980,Yemen,Y,,13.95,45.5,2000,Sorghum bicolor subsp. bicolor
PI 481905,Collection source event,11/15/1981,Sudan,Y,800,13.16666667,22.81666667,2000,Sorghum bicolor subsp. bicolor
PI 481908,Collection source event,11/15/1981,Sudan,Y,900,12.95,22.86666667,2000,Sorghum bicolor subsp. bicolor
PI 481912,Collection source event,11/16/1981,Sudan,Y,700,12.5,22.65,2000,Sorghum bicolor subsp. bicolor
PI 481933,Collection source event,12/7/1981,Sudan,Y,950,12.33333333,23.28333333,2000,Sorghum bicolor subsp. bicolor
PI 481936,Collection source event,12/9/1981,Sudan,Y,600,12.11666667,22.63333333,2000,Sorghum bicolor subsp. bicolor
PI 482604,Collection source event,4/8/1982,Zimbabwe,Y,1300,-17.55,31.3,2000,Sorghum bicolor subsp. bicolor
PI 482630,Collection source event,4/17/1982,Zimbabwe,Y,650,-20.43333333,31.86666667,2000,Sorghum bicolor subsp. bicolor
PI 482634,Collection source event,4/17/1982,Zimbabwe,Y,650,-20.43333333,31.86666667,2000,Sorghum bicolor subsp. bicolor
PI 482642,Collection source event,4/19/1982,Zimbabwe,Y,900,-20.43333333,31.15,2000,Sorghum bicolor subsp. bicolor
PI 482646,Collection source event,4/19/1982,Zimbabwe,Y,680,-20.7,31.08333333,2000,Sorghum bicolor subsp. bicolor
PI 482676,Collection source event,4/22/1982,Zimbabwe,Y,400,-22.68333333,31.31666667,2000,Sorghum bicolor subsp. bicolor
PI 482684,Collection source event,4/23/1982,Zimbabwe,Y,570,-20.51666667,31.51666667,2000,Sorghum bicolor subsp. bicolor
PI 482688,Collection source event,4/26/1982,Zimbabwe,Y,740,-20.61666667,30.61666667,2000,Sorghum bicolor subsp. bicolor
PI 482692,Collection source event,4/30/1982,Zimbabwe,Y,720,-20.41666667,31.41666667,2000,Sorghum bicolor subsp. bicolor
PI 482734,Collection source event,5/5/1982,Zimbabwe,Y,700,-20.03333333,32.9,2000,Sorghum bicolor subsp. bicolor
PI 482742,Collection source event,5/6/1982,Zimbabwe,Y,840,-20.03333333,32.91666667,2000,Sorghum bicolor subsp. bicolor
PI 482768,Collection source event,5/18/1982,Zimbabwe,Y,1130,-18.66666667,29.36666667,2000,Sorghum bicolor subsp. bicolor
PI 482772,Collection source event,5/18/1982,Zimbabwe,Y,1080,-18.58333333,29.41666667,2000,Sorghum bicolor subsp. bicolor
PI 482776,Collection source event,5/19/1982,Zimbabwe,Y,1150,-19.75,30.61666667,2000,Sorghum bicolor subsp. bicolor
PI 482780,Collection source event,5/19/1982,Zimbabwe,Y,1150,-19.75,30.61666667,2000,Sorghum bicolor subsp. bicolor
PI 482784,Collection source event,5/19/1982,Zimbabwe,Y,1100,-19.83333333,30.55,2000,Sorghum bicolor subsp. bicolor
PI 482788,Collection source event,5/20/1982,Zimbabwe,Y,1420,-18.88333333,31.4,2000,Sorghum bicolor subsp. bicolor
PI 482814,Collection source event,5/27/1982,Zimbabwe,Y,850,-20.73333333,30.2,2000,Sorghum bicolor subsp. bicolor
PI 482822,Collection source event,6/1/1982,Zimbabwe,Y,1320,-18.6,32.08333333,2000,Sorghum bicolor subsp. bicolor
PI 482826,Collection source event,6/1/1982,Zimbabwe,Y,1320,-18.61666667,32.08333333,2000,Sorghum bicolor subsp. bicolor
PI 482834,Collection source event,6/3/1982,Zimbabwe,Y,800,-17.78333333,32.98333333,2000,Sorghum bicolor subsp. bicolor
PI 482860,Collection source event,6/15/1982,Zimbabwe,Y,900,-17.68333333,29.75,2000,Sorghum bicolor subsp. bicolor
PI 482864,Collection source event,6/16/1982,Zimbabwe,Y,1000,-17.6,29.53333333,2000,Sorghum bicolor subsp. bicolor
PI 482868,Collection source event,6/16/1982,Zimbabwe,Y,900,-17.43333333,29.51666667,2000,Sorghum bicolor subsp. bicolor
PI 482872,Collection source event,6/18/1982,Zimbabwe,Y,1200,-17.61666667,30.18333333,2000,Sorghum bicolor subsp. bicolor
PI 482876,Collection source event,6/21/1982,Zimbabwe,Y,1100,-16.85,29.38333333,2000,Sorghum bicolor subsp. bicolor
PI 482880,Collection source event,6/21/1982,Zimbabwe,Y,1100,-16.76666667,29.4,2000,Sorghum bicolor subsp. bicolor
PI 482910,Collection source event,6/30/1982,Zimbabwe,Y,1100,-17.21666667,31.61666667,2000,Sorghum bicolor subsp. bicolor
PI 482914,Collection source event,7/1/1982,Zimbabwe,Y,1000,-16.58333333,32.16666667,2000,Sorghum bicolor subsp. bicolor
PI 482926,Collection source event,7/2/1982,Zimbabwe,Y,900,-16.41666667,31.81666667,2000,Sorghum bicolor subsp. bicolor
PI 482951,Collection source event,7/7/1982,Zimbabwe,Y,400,-16.2,30.28333333,2000,Sorghum bicolor subsp. bicolor
PI 482955,Collection source event,7/8/1982,Zimbabwe,Y,1200,-16.7,30.65,2000,Sorghum bicolor subsp. bicolor
PI 482959,Collection source event,7/8/1982,Zimbabwe,Y,1140,-16.55,30.55,2000,Sorghum bicolor subsp. bicolor
PI 490304,Collection source event,7/4/1980,Kenya,Y,,-0.9,34.5,2000,Sorghum bicolor subsp. bicolor
PI 490308,Collection source event,7/9/1980,Kenya,Y,,0.2,34.2,2000,Sorghum bicolor subsp. bicolor
PI 494885,Collection source event,6/19/1982,Zambia,Y,,-12.25,26.16666667,2000,Sorghum bicolor subsp. bicolor
PI 494891,Collection source event,6/20/1982,Zambia,Y,,-13.75,25.5,2000,Sorghum bicolor subsp. bicolor
PI 494925,Collection source event,7/7/1982,Zambia,Y,,-9.91666667,30,2000,Sorghum bicolor subsp. bicolor
PI 500963,Collection source event,4/30/1981,Zambia,Y,1256,-14.45,28.5,2000,Sorghum bicolor subsp. bicolor
PI 500971,Collection source event,5/5/1981,Zambia,Y,1020,-17.65,25.18333333,2000,Sorghum bicolor subsp. bicolor
PI 500978,Collection source event,5/5/1981,Zambia,Y,1020,-17.65,25.18333333,2000,Sorghum bicolor subsp. bicolor
PI 500982,Collection source event,5/6/1981,Zambia,Y,1270,-17.45,26.08333333,2000,Sorghum bicolor subsp. bicolor
PI 501010,Collection source event,5/14/1981,Zambia,Y,,-15.38333333,23.18333333,2000,Sorghum bicolor subsp. bicolor
PI 501018,Collection source event,5/16/1981,Zambia,Y,,-15.1,22.7,2000,Sorghum bicolor subsp. bicolor
PI 501022,Collection source event,5/17/1981,Zambia,Y,,-15.06666667,22.3,2000,Sorghum bicolor subsp. bicolor
PI 501025,Collection source event,5/17/1981,Zambia,Y,,-14.93333333,22.68333333,2000,Sorghum bicolor subsp. bicolor
PI 501029,Collection source event,5/20/1981,Zambia,Y,,-14.85,24.8,2000,Sorghum bicolor subsp. bicolor
PI 501058,Collection source event,6/2/1981,Zambia,Y,,-13.2,28.71666667,2000,Sorghum bicolor subsp. bicolor
PI 501062,Collection source event,6/3/1981,Zambia,Y,,-13.4,28.9,2000,Sorghum bicolor subsp. bicolor
PI 501066,Collection source event,6/3/1981,Zambia,Y,,-13.48333333,28.7,2000,Sorghum bicolor subsp. bicolor
PI 501073,Collection source event,6/4/1981,Zambia,Y,,-13.63333333,27.75,2000,Sorghum bicolor subsp. bicolor
PI 501077,Collection source event,6/5/1981,Zambia,Y,,-13.15,28.4,2000,Sorghum bicolor subsp. bicolor
PI 501104,Collection source event,6/14/1981,Zambia,Y,,-11.3,29.4,2000,Sorghum bicolor subsp. bicolor
PI 501108,Collection source event,5/17/1981,Zambia,Y,,-9.3,28.73333333,2000,Sorghum bicolor subsp. bicolor
PI 505708,Collection source event,6/20/1984,Zambia,Y,1050,-13.46666667,25,2000,Sorghum bicolor subsp. bicolor
PI 505712,Collection source event,6/21/1984,Zambia,Y,1070,-14.25,24.9,2000,Sorghum bicolor subsp. bicolor
PI 505715,Collection source event,6/26/1984,Zambia,Y,370,-28.75,16.16666667,2000,Sorghum bicolor subsp. bicolor
PI 505730,Collection source event,6/26/1984,Zambia,Y,600,-16.75,27.8,2000,Sorghum bicolor subsp. bicolor
PI 506021,Collection source event,12/12/1983,Togo,Y,,10.83333333,0.81666667,2000,Sorghum bicolor subsp. bicolor
PI 506025,Collection source event,12/12/1983,Togo,Y,,10.93333333,0.63333333,2000,Sorghum bicolor subsp. bicolor
PI 506028,Collection source event,12/12/1983,Togo,Y,,10.73333333,0.3,2000,Sorghum bicolor subsp. bicolor
PI 506032,Collection source event,12/12/1983,Togo,Y,,10.73333333,0.3,2000,Sorghum bicolor subsp. bicolor
PI 506039,Collection source event,12/13/1983,Togo,Y,,10.83333333,0.13333333,2000,Sorghum bicolor subsp. bicolor
PI 506042,Collection source event,12/14/1983,Togo,Y,,10.33333333,0.75,2000,Sorghum bicolor subsp. bicolor
PI 506067,Collection source event,12/15/1983,Togo,Y,,9.63333333,1.01666667,2000,Sorghum bicolor subsp. bicolor
PI 506075,Collection source event,12/16/1983,Togo,Y,,9.51666667,1.05,2000,Sorghum bicolor subsp. bicolor
PI 506078,Collection source event,12/16/1983,Togo,Y,,9.51666667,1.05,2000,Sorghum bicolor subsp. bicolor
PI 506082,Collection source event,12/17/1983,Togo,Y,,9.88333333,0.51666667,2000,Sorghum bicolor subsp. bicolor
PI 506085,Collection source event,12/17/1983,Togo,Y,,9.78333333,0.46666667,2000,Sorghum bicolor subsp. bicolor
PI 506116,Collection source event,1/31/1984,Togo,Y,,7.8,1.28333333,2000,Sorghum bicolor subsp. bicolor
PI 506120,Collection source event,2/2/1984,Togo,Y,,7.25,0.8,2000,Sorghum bicolor subsp. bicolor
PI 506124,Collection source event,2/2/1984,Togo,Y,,7.13333333,0.73333333,2000,Sorghum bicolor subsp. bicolor
PI 510716,Collection source event,1979,Cameroon,Y,,10.11666667,14.96666667,2000,Sorghum bicolor subsp. bicolor
PI 510720,Collection source event,1979,Cameroon,Y,,10.6,14.33333333,2000,Sorghum bicolor subsp. bicolor
PI 510724,Collection source event,1979,Cameroon,Y,,10.71666667,14.5,2000,Sorghum bicolor subsp. bicolor
PI 510728,Collection source event,1979,Cameroon,Y,,10.73333333,14.21666667,2000,Sorghum bicolor subsp. bicolor
PI 510732,Collection source event,1979,Cameroon,Y,,10.73333333,14.15,2000,Sorghum bicolor subsp. bicolor
PI 510740,Collection source event,1979,Cameroon,Y,,10.51666667,13.58333333,2000,Sorghum bicolor subsp. bicolor
PI 511066,Collection source event,,Yemen,Y,100,14.2,43.31666667,2000,Sorghum bicolor subsp. bicolor
PI 511069,Collection source event,,Yemen,Y,250,15.06666667,43.28333333,2000,Sorghum bicolor subsp. bicolor
PI 511073,Collection source event,,Yemen,Y,80,15.33333333,43,2000,Sorghum bicolor subsp. bicolor
PI 511080,Collection source event,,Yemen,Y,2320,14.55,44.4,2000,Sorghum bicolor subsp. bicolor
PI 511084,Collection source event,,Yemen,Y,2600,15.58333333,44.01666667,2000,Sorghum bicolor subsp. bicolor
PI 511108,Collection source event,,Yemen,Y,520,15.18333333,43.51666667,2000,Sorghum bicolor subsp. bicolor
PI 511111,Collection source event,,Yemen,Y,2000,15.5,43.58333333,2000,Sorghum bicolor subsp. bicolor
PI 511115,Collection source event,,Yemen,Y,2400,15.98333333,43.78333333,2000,Sorghum bicolor subsp. bicolor
PI 511122,Collection source event,,Yemen,Y,2480,16.18333333,43.7,2000,Sorghum bicolor subsp. bicolor
PI 511126,Collection source event,,Yemen,Y,1920,16.95,43.4,2000,Sorghum bicolor subsp. bicolor
PI 511130,Collection source event,,Yemen,Y,75,15.65,42.96666667,2000,Sorghum bicolor subsp. bicolor
PI 511133,Collection source event,,Yemen,Y,1300,16.3,43.71666667,2000,Sorghum bicolor subsp. bicolor
PI 511158,Collection source event,,Yemen,Y,1050,15.63333333,43.5,2000,Sorghum bicolor subsp. bicolor
PI 511161,Collection source event,,Yemen,Y,1050,15.63333333,43.5,2000,Sorghum bicolor subsp. bicolor
PI 511165,Collection source event,,Yemen,Y,1050,15.63333333,43.5,2000,Sorghum bicolor subsp. bicolor
PI 511169,Collection source event,,Yemen,Y,460,14.98333333,43.05,2000,Sorghum bicolor subsp. bicolor
PI 511172,Collection source event,,Yemen,Y,1200,14.6,43.95,2000,Sorghum bicolor subsp. bicolor
PI 511176,Collection source event,,Yemen,Y,1200,14.6,43.95,2000,Sorghum bicolor subsp. bicolor
PI 511180,Collection source event,,Yemen,Y,2150,15.48333333,43.6,2000,Sorghum bicolor subsp. bicolor
PI 511183,Collection source event,,Yemen,Y,2000,16.71666667,44.31666667,2000,Sorghum bicolor subsp. bicolor
PI 524603,Collection source event,1977,Sudan,Y,,12.16666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 524618,Collection source event,1977,Sudan,Y,,12.16666667,30.53333333,2000,Sorghum bicolor subsp. bicolor
PI 524622,Collection source event,1977,Sudan,Y,,12.16666667,30.53333333,2000,Sorghum bicolor subsp. bicolor
PI 526610,Collection source event,3/28/1985,Zimbabwe,Y,1150,-19.91666667,32.33333333,2000,Sorghum bicolor subsp. bicolor
PI 526614,Collection source event,3/29/1985,Zimbabwe,Y,1250,-19.5,31.8,2000,Sorghum bicolor subsp. bicolor
PI 526622,Collection source event,3/29/1985,Zimbabwe,Y,900,-19.5,31.63333333,2000,Sorghum bicolor subsp. bicolor
PI 526626,Collection source event,3/29/1985,Zimbabwe,Y,1100,-19.28333333,31.88333333,2000,Sorghum bicolor subsp. bicolor
PI 526630,Collection source event,3/29/1985,Zimbabwe,Y,670,-19.91666667,32.33333333,2000,Sorghum bicolor subsp. bicolor
PI 526634,Collection source event,3/29/1985,Zimbabwe,Y,480,-19.43333333,31.75,2000,Sorghum bicolor subsp. bicolor
PI 526659,Collection source event,3/31/1985,Zimbabwe,Y,580,-20.93333333,30.63333333,2000,Sorghum bicolor subsp. bicolor
PI 526663,Collection source event,3/31/1985,Zimbabwe,Y,900,-20.33333333,30.08333333,2000,Sorghum bicolor subsp. bicolor
PI 526667,Collection source event,3/31/1985,Zimbabwe,Y,900,-20.33333333,30.08333333,2000,Sorghum bicolor subsp. bicolor
PI 526671,Collection source event,3/31/1985,Zimbabwe,Y,950,-20.33333333,30.08333333,2000,Sorghum bicolor subsp. bicolor
PI 526675,Collection source event,3/31/1985,Zimbabwe,Y,950,-20.33333333,30.08333333,2000,Sorghum bicolor subsp. bicolor
PI 526679,Collection source event,4/2/1985,Zimbabwe,Y,1350,-19.71666667,31.8,2000,Sorghum bicolor subsp. bicolor
PI 526705,Collection source event,4/5/1985,Zimbabwe,Y,1320,-17.96666667,31.33333333,2000,Sorghum bicolor subsp. bicolor
PI 526709,Collection source event,4/5/1985,Zimbabwe,Y,1320,-17.96666667,31.33333333,2000,Sorghum bicolor subsp. bicolor
PI 526721,Collection source event,4/5/1985,Zimbabwe,Y,1350,-19.08333333,32.63333333,2000,Sorghum bicolor subsp. bicolor
PI 526725,Collection source event,4/6/1985,Zimbabwe,Y,1300,-19.3,32.58333333,2000,Sorghum bicolor subsp. bicolor
PI 526751,Collection source event,4/6/1985,Zimbabwe,Y,1290,-16.16666667,30.58333333,2000,Sorghum bicolor subsp. bicolor
PI 526759,Collection source event,4/6/1985,Zimbabwe,Y,1290,-17.36666667,30.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526763,Collection source event,4/6/1985,Zimbabwe,Y,1290,-17.2,30.03333333,2000,Sorghum bicolor subsp. bicolor
PI 526767,Collection source event,4/6/1985,Zimbabwe,Y,1290,-17.03333333,30.45,2000,Sorghum bicolor subsp. bicolor
PI 526797,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526801,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526805,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526809,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526817,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,28.5,2000,Sorghum bicolor subsp. bicolor
PI 526847,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526855,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526863,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.53333333,29.28333333,2000,Sorghum bicolor subsp. bicolor
PI 526889,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526893,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526897,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526901,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526905,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.16666667,28.75,2000,Sorghum bicolor subsp. bicolor
PI 526909,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.83333333,28.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526935,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.08333333,31.66666667,2000,Sorghum bicolor subsp. bicolor
PI 526939,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526943,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526947,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526951,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526981,Collection source event,5/2/1985,Zimbabwe,Y,1150,-20.91666667,29,2000,Sorghum bicolor subsp. bicolor
PI 526989,Collection source event,5/2/1985,Zimbabwe,Y,1100,-19.76666667,27.75,2000,Sorghum bicolor subsp. bicolor
PI 526993,Collection source event,5/2/1985,Zimbabwe,Y,1100,-18.36666667,26.33333333,2000,Sorghum bicolor subsp. bicolor
PI 527001,Collection source event,5/2/1985,Zimbabwe,Y,1000,-18.91666667,27.76666667,2000,Sorghum bicolor subsp. bicolor
PI 527027,Collection source event,5/2/1985,Zimbabwe,Y,1250,-19.33333333,28.5,2000,Sorghum bicolor subsp. bicolor
