,stdMinorAxisLength,sample,stdMajorAxisLength,majorAxisLength,averageArea,totalCount,stdArea,minorAxisLength
553,2.89745184,SAP287,3.132107687,46.58116659,1482.035714,31,180.0451297,41.44851221
554,2.815578079,SAP288,3.284691462,48.33105983,1627.857143,40,201.3454236,43.31233739
555,2.82504531,SAP288,3.396007175,48.55602639,1637.178571,43,201.7252469,43.45595137
556,2.430871077,SAP289,2.541426845,47.27835342,1562.6875,43,154.3529716,42.46016555
557,2.422118893,SAP289,2.60149529,47.17917328,1557.25,42,154.4900887,42.36609574
558,4.5253091,SAP290,3.999253932,46.64055926,1489.555556,21,262.8553092,40.72309922
559,4.549565332,SAP290,3.977031609,46.59978222,1485.777778,21,262.810146,40.67305587
560,3.187213041,SAP291,4.007993453,53.31593839,1759.2,34,196.899873,42.55898457
561,3.167458214,SAP291,3.361970535,54.71430597,1833.551724,52,196.5303497,43.16294416
562,2.833392614,SAP292,7.332315141,48.79024867,1179.679245,85,181.2667974,32.19706695
563,2.452094853,SAP292,7.601020552,48.79168629,1177.185185,89,177.8120183,32.07891265
564,3.153884442,SAP293,3.154769489,55.66828538,2096.52381,43,250.6343607,49.20859713
565,3.101019312,SAP293,3.1434306,55.67713238,2104.761905,43,247.7221763,49.327242
566,2.509097793,SAP294,1.887389037,52.59549174,1900.631579,32,151.1824309,46.46565461
567,2.58367165,SAP294,1.89458937,52.64518081,1904.789474,32,154.8107772,46.53233867
568,3.954922867,SAP295,4.253011332,45.2831617,1443.97561,66,253.5231252,40.86114816
569,4.051282132,SAP295,4.209671068,45.31395358,1440.860465,66,253.0625974,40.76430232
570,2.576626007,SAP296,3.404914227,46.61451864,1390.933333,66,159.259732,38.67648165
571,3.302153342,SAP297,3.103325902,47.57582299,1587.724138,46,210.7983015,42.89050085
572,3.229179053,SAP297,2.92801298,47.62375868,1593.407407,50,200.1407392,43.05624603
573,4.094642246,SAP298,4.451215865,45.15443717,1432.038462,38,264.122128,40.51353296
574,4.121848488,SAP298,4.424745184,45.22571542,1437.692308,38,265.4137219,40.60780915
575,2.283976594,SAP299,3.034308116,43.17238124,1299.75,64,163.4484246,38.72489234
576,2.29396901,SAP299,3.007714476,43.2485499,1305.4,64,164.0391417,38.83177264
577,3.782226305,SAP300,3.68977216,48.04850159,1451.382353,59,225.6325767,38.82806753
578,3.791278956,SAP300,3.732599122,48.01919885,1451.088235,59,225.5996412,38.84236128
579,3.009447118,SAP301,2.48178848,43.59692579,1354.5,57,161.0407557,39.97225888
580,3.031792215,SAP301,2.454258423,43.66132574,1359.4375,57,161.254639,40.04703872
581,2.94174256,SAP302,3.289371733,52.14007602,1782.84,30,203.0624889,44.04802679
582,2.917191473,SAP302,3.287398142,52.08022129,1777.2,30,201.643051,43.97735392
583,3.574543581,SAP303,3.924885823,49.98646971,1632.375,64,236.277699,42.17623958
584,3.545111277,SAP303,4.045165421,50.09079649,1626.130435,65,239.4993518,42.04495942
585,3.364665611,SAP304,3.079766946,46.17703693,1485.190476,45,211.3704982,41.26135446
586,3.402422691,SAP304,3.155432593,46.16531855,1480.571429,45,214.3089829,41.15469519
587,3.305323428,SAP305,2.302864577,54.82644675,2119.4,36,211.5344889,49.80023625
588,3.303088426,SAP305,2.274759704,54.93732273,2128.566667,37,210.4705337,49.88543439
589,3.44625956,SAP306,2.486095917,46.97082235,1489.90625,59,179.2165867,40.76501986
590,3.446575665,SAP306,2.499133778,46.8868543,1485.25,59,178.314154,40.71580019
591,3.341558847,SAP307,3.191358942,43.02177554,1247.605263,54,193.8392632,37.45174735
592,3.299500935,SAP307,3.230151011,43.10072065,1253.710526,60,194.2561938,37.55001935
593,4.047374062,SAP308,2.941771097,47.89251247,1542.735294,51,217.6614085,41.35805296
594,3.566460904,SAP308,2.793483212,47.76911956,1525.848485,55,183.8362449,41.06384115
595,2.30254983,SAP309,2.396748689,46.40264592,1535.75,57,146.4144375,42.75653646
596,2.361269545,SAP309,2.379402669,46.44268628,1540.071429,57,147.7601649,42.81992063
597,3.15251941,SAP310,2.730436684,51.13967624,1625.897436,44,165.9792688,40.84810304
598,3.100123722,SAP310,2.772019478,51.08151871,1620.051282,44,166.3655149,40.75279835
599,2.853247147,SAP311,3.16866361,53.55572236,2028.846154,42,219.6134177,49.18482093
600,2.781767026,SAP311,3.152070459,53.48869326,2023.576923,42,219.9215198,48.98303221
