,sample,imageHash,MeanIntensity_r_mean,MeanIntensity_g_mean,MeanIntensity_b_mean,StdIntensity_r_mean,StdIntensity_g_mean,StdIntensity_b_mean,Area_mean,Solidity_mean,Perimeter_mean,Eccentricity_mean,Orientation_mean,MajorAxisLength_mean,MinorAxisLength_mean,MeanIntensity_r_std,MeanIntensity_g_std,MeanIntensity_b_std,StdIntensity_r_std,StdIntensity_g_std,StdIntensity_b_std,Area_std,Solidity_std,Perimeter_std,Eccentricity_std,Orientation_std,MajorAxisLength_std,MinorAxisLength_std
0,BAP001,4541fbce9254860406a65c24f74f563afbf345e9,28848.599022697163,18211.84223978165,15859.186569720789,10281.425714756386,7347.896098918368,5965.509733209774,1512.6603773584907,0.9570212979921747,147.75513207547172,0.6085656607136974,-4.981655953594306,49.817220118669766,38.95130254866383,2041.1904831751701,1645.9231014658387,1279.6097862676218,1603.5169794219266,1539.862258296128,1082.5808773643896,103.08826378702906,0.014449289329944921,9.592932334311671,0.09396520139466981,48.06086319492504,2.860007602902456,2.2134160790638155
1,BAP001,9312a29580002dbd542dd3c2e6cc564a8056c73b,28348.61610368467,17806.367114150467,15441.029190909689,10565.561300931644,7445.078025138577,6066.123508027971,1525.7307692307693,0.9283396217989368,168.59676923076918,0.611178929164707,-0.6961789819916289,50.07314447303658,39.20029738059226,2089.2406570938433,1670.0874710435066,1338.5256791108086,1630.4450031069503,1547.8354872251866,1082.151228972288,108.47844556564156,0.019898242547920785,14.235527382828856,0.07856601270121653,49.955819291471656,2.7425816035363795,2.1380320980431926
2,BAP002,9a64df2d5b49a9faa1382b7c419cae36572f1d9f,28694.39913779497,16528.867720440034,13879.166655172588,11240.870047383942,7153.364536701701,5506.483235768974,1655.1041666666667,0.9317406569195676,174.28077083333335,0.3705957516222136,-11.205894327911102,48.024074074679625,44.261942155225995,2239.1078502947335,1935.3311487280853,1238.9029443182578,1177.9265274103102,1311.9385773311512,780.8427166623472,138.22156736340813,0.020724704159378673,21.40620004760957,0.10451552197981426,33.68474863857835,2.0569578734624154,2.1993777252241067
3,BAP002,ee257342ab81dece599c06745e8011ffa7d53332,28878.226217580956,16472.836687043306,13708.052415470593,11173.948038392698,7182.1407785173515,5538.6980721959835,1635.1458333333333,0.9298277494280406,172.31460416666664,0.37410065919944313,-13.102393647300453,47.75759789456358,43.95355116960443,2277.077253607665,1965.273767752632,1277.878326257575,1227.0358231402317,1337.0030634849586,821.5719270889742,146.00553612111486,0.019241717698764357,13.488762875216237,0.1046825118604965,29.99733693479618,2.1471522192349295,2.326108418869837
4,BAP003,553d91eaf4d09f9866fea067754d98e3fc31fe06,28166.975861529307,15997.421405008252,13873.28852261512,10181.278367370975,6357.168860832345,5244.124611584962,1608.8163265306123,0.9423800929557627,160.53906122448979,0.6817892797830196,-7.6209483398442135,53.48989791077804,38.66104388076747,1314.7082664759382,1268.533688455158,968.8298498034707,946.7559203909633,839.6706396954685,609.2623231707129,143.90429016499525,0.042976638372413827,20.97904321123043,0.07138102726219699,46.86314881022428,3.2373066225414235,2.565894759721982
5,BAP003,860a009db32c108e0c1cb7023deac918dc9df4ec,28148.832014329895,16149.569978961285,14088.689064852737,10182.363177661566,6349.342897292619,5218.064356196988,1608.2553191489362,0.9442937952305822,159.55212765957447,0.681643953622289,-9.088207906282111,53.48769576383163,38.66912579316321,1311.88565478694,1272.847133511208,956.4776751415967,962.9957356062237,850.7398607779508,611.6121321456238,132.81393786292458,0.03903813418478359,21.190279336871733,0.0706927231468587,46.87054601342251,3.18377229874789,2.390662587281273
6,BAP004,5351843a3c9535f9a2bf857c4c625a7a0f18beba,31297.33697567135,21943.866377673115,17610.191147611473,12792.782816290857,9967.017892759768,7571.984321821948,1401.8541666666667,0.9136557806952044,167.90712500000004,0.6711640363615254,-0.5013840944410077,50.069150195490714,36.471629387273886,3037.8424598549627,2245.1501628299375,1867.7450586570267,1391.7341393373008,1370.8561278728491,1389.2050954195254,159.06548759542918,0.05549735939148278,21.83051481505705,0.07818515979254793,40.95235933039308,3.719597214673589,3.0525075535975654
7,BAP004,a23db8cc69bd12566752b22d43b6d85507b66f76,30954.904767437725,21583.27831509848,17223.867415680095,12949.977050344785,10058.406039608946,7610.717896094845,1411.3720930232557,0.9100135916821832,171.57799999999997,0.6749651681072326,-0.1799459349227249,50.313907018413396,36.462819311869126,3108.7657482386694,2195.1793954231953,1743.6437471519425,1492.5383865174524,1382.0638276104323,1345.0620995994252,159.57951044867497,0.0443629409993709,20.44966543212173,0.07827500062654552,38.97404229825678,3.661732720653395,3.1479103346455215
8,BAP005,5d3c295a6c05a5dde029535a5c97392f72420978,26818.389225751158,15728.027880191801,15217.400317266583,9454.513452015815,5694.959268718959,5071.043900772929,1448.4117647058824,0.9256067398859503,161.754431372549,0.5613277830146286,6.598685717526441,47.84154275620663,39.20460045898771,1743.5918408822056,1145.062592438794,898.7426410317623,1298.504542522153,894.6077321140942,655.1584309258496,185.99614796770265,0.01909487159340368,16.552677073216774,0.08012743846557152,50.62272599226987,3.7394699162350413,2.668180266496339
9,BAP005,7ec2c0ad83d8714d10e2652fc2bf7caa17258ad3,26579.426361241123,15672.15191612867,15206.288232918489,9378.805910184641,5662.932123673911,5063.6215781200335,1424.1818181818182,0.9131837069156906,169.92587272727275,0.5703052208787455,3.0357375007186596,48.117213298964145,38.699046824836444,1830.4418133201405,1451.0176047769094,1497.5920052145723,1551.3150443562467,966.1807236910383,752.7584980239919,213.83500829941482,0.061928554014065496,39.60045135968666,0.09736124606729378,51.32443242645777,4.653076887048088,3.908103991032358
10,BAP006,07d06ed93dc39ce42b81c9562dba5f43d3f0d1b4,27634.68343777264,15129.819133814151,13660.952848895657,9831.277973650063,5698.087195650015,4699.349361122019,1566.7073170731708,0.9249941286727688,176.03870731707315,0.67602090600304,5.132172152747891,52.56068556986073,38.364155640229065,1519.0133233548156,1210.5681984234593,1083.5518779644483,1227.3181651550462,1106.5069629046873,709.667176678282,148.65820594612978,0.011950600484738536,13.72215404964524,0.060402250349633826,48.006117995222546,3.6134947875604353,1.8935986607710544
11,BAP006,236fbef945054d78dd4bb1d2e8be4e060b3e1eb0,28001.453064009547,15429.154828031145,14124.126397844942,9423.884000615884,5537.644159561023,4568.159465318812,1542.904761904762,0.9629420799759716,147.6839523809524,0.6805458268444022,3.379744781096185,52.19161711589349,37.84388852781721,1502.511474714454,1165.2248100670408,947.8875852663813,1152.1828640521205,1099.481710063748,703.8580522275377,155.70669887430077,0.008708754212839806,8.221745212492332,0.0634131146439951,46.70294782765519,3.7190614717387973,2.006031484568911
12,BAP007,71dd83b0bc6ad44550f8e3064796cf3d634c68fb,38018.433945016426,30315.864332426678,27011.190697008915,15396.342616020278,13377.064307338807,11305.876400287858,1556.2121212121212,0.9376599886916269,160.41981818181824,0.4862020415833145,-16.099928901048646,47.97376388039715,41.64429946868816,1195.8088389223676,1478.3433255971468,1552.055184581748,927.2831491235652,1192.8930494770827,1238.899322839478,175.76720356336344,0.045347622129495536,17.391440370291615,0.08394223861880137,39.13044167867842,2.795540889821495,2.8152088153416637
13,BAP007,956b99d8ae9362edb602a1af592e1f6884dc9223,38107.79585025527,30429.842860928995,27163.583962009707,15275.041688707743,13291.81300252676,11220.228325948117,1555.1818181818182,0.9388428744735056,157.98257575757577,0.49144926534830585,-11.417269282322687,48.02058387322566,41.54945149431553,1180.2059886933664,1515.279238129002,1581.3601952124882,870.5007850814535,1156.9324602011263,1218.210910180126,178.55521809538612,0.042432775089589675,15.217864253547342,0.08174105684572557,40.41690751196262,2.839510794361945,2.827658124725225
14,BAP008,0c908f4499d2d707af51588be75f9054f5b5fe3b,43057.65551678263,37818.13610287813,35467.39758012387,14923.41353221295,14189.21952812145,12859.618601331926,2672.346153846154,0.9282818738004265,221.87811538461534,0.3430876252025331,-7.242115330701089,60.42603084608873,56.48528309571468,1931.4932656684302,2404.1749978671846,2513.503913108228,885.3066406978826,967.7843069479349,1060.149182127123,390.2115264630396,0.041546706989995796,27.95461723340446,0.08296805531717585,23.275574418955998,4.622481449801515,4.253674702374345
15,BAP008,42ba1dfae48fb4c2b4420fd238ce2e0d932fb65d,55605.34805282948,47053.12226191163,39580.72184398771,6488.09716925025,7174.709795136006,6898.064803797738,300.3333333333333,0.7864916512941743,83.51666666666667,0.7563194828958429,-33.49440969958774,26.895780633337896,16.722414983251117,2907.955483056491,3516.5531083637647,3573.90646117585,1508.3983302530596,1379.039688946316,1305.642181799682,74.5189014053929,0.07685745546640556,11.742223497560701,0.10489920508536017,36.01550937465671,3.6892085843834153,3.37479306994398
