imageSource,Centroid_1,Centroid_2,BoundingBox_1,BoundingBox_2,BoundingBox_3,BoundingBox_4,oBoundingBox_1,oBoundingBox_2,oBoundingBox_3,oBoundingBox_4,oBoundingBox_5,MeanIntensity_r,MeanIntensity_g,MeanIntensity_b,StdIntensity_r,StdIntensity_g,StdIntensity_b,MinIntensity_r,MinIntensity_g,MinIntensity_b,MaxIntensity_r,MaxIntensity_g,MaxIntensity_b,Area,FilledArea,Solidity,Perimeter,Eccentricity,Orientation,MajorAxisLength,MinorAxisLength
BAP384-2.jpg,804.709297464465,743.222914178955,808,739,15,15,804.709297464465,743.222914178955,9.1214287482557,10.9846335925201,2.76547612296362,0.134965062141418,0.231665313243866,0.234816789627075,0.0734196901321411,0.0971407890319824,0.10591085255146,0.129411770030856,0.121568634640425,0.125490203034133,0.0274509787559509,0.152941167354584,0.203921556472778,680,680,0.134806201550388,96.797,0.503233106449214,158.450110190017,13.8054578185053,13.3413254748644
BAP380-2.jpg,459.741024262005,723.631934168557,460,729,19,19,459.741024262005,723.631934168557,16.7661048948941,10.3121969365598,2.93217453821209,0.120821237564087,0.154420524835587,0.166283518075943,0.0600477755069733,0.0695832818746567,0.0859244167804718,0.0901960842311382,0.0823529418557882,0.0823529399931431,0.109803915023804,0.196078419685364,0.274509787559509,1226,1226,0.0776863686023597,74.482,0.298706976804896,168.001225835274,18.3410794991182,14.7548260151003
BAP383-1.jpg,518.930310197205,646.33694407736,518,649,84,22,518.930310197205,646.33694407736,18.8745963989628,62.1491189734242,1.69096619861241,0.120728194713593,0.130785673856735,0.122329562902451,0.0784327387809753,0.0813739150762558,0.075761541724205,0.0980392172932625,0.0941176488995552,0.121568631380796,0.160784304141998,0.203921556472778,0.199999988079071,1396,1396,0.355945039862056,336.583,0.504932495613338,96.8852264797714,35.573985483738,16.4247154783419
BAP302-2.jpg,588.148153669923,555.390619493434,588,555,23,20,588.148153669923,555.390619493434,10.5086467752043,11.1295089459209,2.62327615556621,0.104575514793396,0.0888495445251465,0.0586239993572235,0.0478998273611069,0.0316325277090073,0.0413890480995178,0.062745101749897,0.0470588244497776,0.078431373462081,0.12941175699234,0.184313714504242,0.219607830047607,599,599,0.0492746999937823,29.864,0.181434483222239,150.302652211248,11.6940113156732,7.59275137856946
BAP302-1.jpg,647.624055861526,646.542785029256,641,638,23,26,647.624055861526,646.542785029256,13.3145584525102,10.4314239497745,2.99053426812687,0.0771405696868896,0.0728521645069122,0.0839085280895233,0.0406699329614639,0.0381256639957428,0.0395945608615875,0.0745098032057285,0.0627451008185744,0.0784313743934035,0.117647051811218,0.137254893779755,0.133333325386047,513,513,0.0370793381093064,35.29,0.109307533520174,171.344992052914,8.65293238414758,7.37649798159384
BAP299-1.jpg,628.89330402061,651.896377382241,630,654,10,11,628.89330402061,651.896377382241,8.76227462555358,6.35799978067925,2.22264019837457,0.103326767683029,0.0968682616949081,0.0743134021759033,0.0501515418291092,0.0512116253376007,0.0385626927018166,0.0549019612371922,0.0588235296308994,0.0549019612371922,0.203921556472778,0.196078449487686,0.207843154668808,558,558,0.0178242039755299,26.547,0.235220478547604,127.347902742983,9.04516318147282,7.59081669414937
BAP297-1.jpg,742.247919934686,550.142332353263,741,550,17,16,742.247919934686,550.142332353263,7.71940393855475,8.99152308660228,2.57922675934519,0.174996435642242,0.196001797914505,0.155036687850952,0.0709544718265533,0.0691729485988617,0.0507739037275314,0.0627450980246067,0.105882353149354,0.105882354080677,0.137254893779755,0.17254900932312,0.199999988079071,1214,1214,0.0391249565519638,61.3320000000001,0.379400555602072,147.778807717684,16.0723182947914,13.1288312249273
BAP310-2.jpg,583.015151515152,414.517240525031,578,418,18,21,583.015151515152,414.517240525031,10.7572569090942,7.65513807826892,2.90118197659378,0.123380899429321,0.0716433525085449,0.0597949475049973,0.0873232260346413,0.0609002858400345,0.0352263227105141,0.062745101749897,0.0745098069310188,0.0705882385373116,0.305882334709167,0.384313732385635,0.411764711141586,1025,1025,0.0275092754347835,41.781,0.161795316004786,166.225482858246,13.3544031131307,13.2358606828934
BAP310-1.jpg,533.919451888032,754.881027974697,539,757,14,24,533.919451888032,754.881027974697,10.0090348622507,8.22132462378232,2.64567462706297,0.123224586248398,0.08246710896492,0.0596743524074554,0.0771736726164818,0.0528655499219894,0.0495317354798317,0.0470588244497776,0.047058823518455,0.0470588263124228,0.192156851291656,0.207843154668808,0.26274511218071,1089,1089,0.0259935970462286,44.61,0.195755876113677,151.585990095556,15.3174308587275,14.1755991324906
BAP334-2.jpg,626.088394001444,710.671664626683,626,711,8,10,626.088394001444,710.671664626683,7.89875925530067,5.51431019520027,1.51786975044027,0.121877789497375,0.0844363123178482,0.0531585961580276,0.0804863199591637,0.0782380625605583,0.0594772323966026,0.0509803928434849,0.0627451012842357,0.0745098069310188,0.239215672016144,0.235294133424759,0.235294133424759,538,538,0.0522126252932394,18.4,0.344138394945372,86.967530550803,5.51718182926065,9.50315647952809
BAP380-1.jpg,601.640514102273,760.776052560469,604,769,18,34,601.640514102273,760.776052560469,17.432869863226,15.7905138624211,2.92055743309681,0.218701183795929,0.263271242380142,0.241001576185226,0.0631468892097473,0.0927519947290421,0.084651380777359,0.0745098106563091,0.0823529437184334,0.0862745121121407,0.156862735748291,0.25882351398468,0.286274492740631,1076,1076,0.168669623313966,128.792,0.333623848514008,167.335614742008,17.2343306808289,13.9680277356912
BAP342-1.jpg,712.904298329306,801.925475845027,714,801,10,12,712.904298329306,801.925475845027,7.42596339630071,6.80892267697302,2.86909209498877,0.0897915959358215,0.106219559907913,0.0777078121900558,0.078498899936676,0.0876666456460953,0.0641393810510635,0.0784313790500164,0.0784313753247261,0.0862745121121407,0.176470577716827,0.294117659330368,0.301960796117783,379,379,0.0674589880497173,44.353,0.315680538942919,164.386868077204,7.97178219742678,7.12630446364405
BAP267-1.jpg,641.802779545652,623.764170351793,644,622,14,18,641.802779545652,623.764170351793,10.6999680171359,9.43107220889039,2.52233614278841,0.211162835359573,0.134764954447746,0.0859140455722809,0.0525263696908951,0.041769340634346,0.0275214314460754,0.0666666701436043,0.0823529437184334,0.0784313753247261,0.247058808803558,0.21960785984993,0.192156881093979,664,664,0.0361138725579483,44.436,0.415453104343987,144.519215495084,9.67703249675288,8.93373829010408
