,b,r,sample,g,closest color
636,60.99559359,52.93895708,BAP357,52.87650112,dark brown
637,60.612775,51.89059335,BAP358,52.2683982,dark brown
638,63.11901138,119.1935397,BAP359,71.72693753,dark brown
639,63.34899257,124.5747372,BAP359,72.83527449,dark brown
640,135.1169846,168.1728044,BAP360,144.2579856,chalky white
641,126.5754908,156.268896,BAP360,133.9261735,cream
642,58.49567414,50.23974878,BAP361,50.26869415,dark brown
643,63.97022022,120.4351127,BAP362,71.75274909,dark brown
644,60.54581732,52.15147725,BAP363,52.19279543,dark brown
645,59.0890127,50.76102072,BAP363,50.7696935,dark brown
646,62.36362997,106.7319293,BAP364,60.24304651,dark brown
647,64.68768984,108.203899,BAP364,62.96146374,dark brown
648,55.82423424,47.78053905,BAP365,47.86631326,dark brown
649,75.45249963,112.0670824,BAP366,79.67005886,dark brown
650,58.4638022,50.74112673,BAP366,50.64394847,dark brown
651,115.7673012,163.4048353,BAP367,129.3995191,yellow
652,116.2390047,160.8744876,BAP367,126.5540505,yellow
653,68.7666413,118.3449122,BAP368,72.35786232,dark brown
654,78.50726439,139.7889128,BAP369,95.05082281,red
655,66.226808,119.0111358,BAP370,70.25074842,dark brown
656,55.03002388,47.56310647,BAP370,47.19049621,dark brown
657,75.63539074,131.529731,BAP371,80.71690222,dark brown
658,133.6900317,169.5555602,BAP372,144.2310664,chalky white
659,126.7097903,161.4189605,BAP372,136.4191435,cream
660,57.63483955,49.4203091,BAP373,49.34514665,dark brown
661,57.26619737,48.8815012,BAP373,49.03064047,dark brown
662,118.9807221,168.9380296,BAP374,129.8383374,cream
663,121.6258785,171.3294009,BAP374,132.6971553,cream
664,56.69420976,48.61602956,BAP375,48.71491405,dark brown
665,63.62356974,55.52035661,BAP375,55.37271847,dark brown
666,61.80777481,53.96594773,BAP376,53.8253902,dark brown
667,57.36491879,48.9239384,BAP376,49.06795629,dark brown
668,62.22883542,53.971832,BAP377,53.99995628,dark brown
669,134.0363467,174.0216276,BAP378,144.3589154,chalky white
670,141.4079012,180.7804768,BAP378,152.0569182,pearl
671,110.6975858,161.7148681,BAP379,127.6959168,yellow
672,113.5263772,163.9575177,BAP379,130.2577753,yellow
673,133.051941,171.7545505,BAP380,142.2357046,cream
674,135.1953213,172.5508901,BAP380,144.1386008,chalky white
675,73.07291295,125.3061144,BAP381,81.67956519,dark brown
676,142.916374,174.82625,BAP382,151.4408737,pearl
677,142.4237285,174.1019389,BAP382,150.2657572,pearl
678,134.2887657,175.5025257,BAP383,147.9312672,chalky white
679,135.3039384,175.9249893,BAP383,148.3579392,chalky white
680,154.6951241,188.1056371,BAP384,162.831541,white
681,154.9948384,185.5311282,BAP384,161.7865168,white
682,141.4637968,164.469854,BAP385,143.9074806,chalky white
683,128.3626829,161.6704446,BAP385,133.72593,cream
684,78.5932047,147.988261,BAP386,93.65924331,red
685,74.54530262,142.4326375,BAP386,88.64646994,red
686,136.0113995,179.7895413,BTX623,150.7333186,chalky white
687,136.1261014,179.8432668,BTX623,150.7199581,chalky white
688,137.6089422,182.7527317,BTX623,153.9332126,pearl
