,stdArea,totalCount,majorAxisLength,sample,averageArea,stdMinorAxisLength,minorAxisLength,stdMajorAxisLength
648,38.63668449,15,47.05895136,BAP365,200.4545455,4.005935672,19.21770156,8.046330538
649,301.1946007,12,54.06501423,BAP366,1470.25,7.391255425,37.24854299,6.284049246
650,51.05293691,22,56.67578244,BAP366,232.5384615,5.559684301,24.68626598,11.78244365
651,209.4302402,19,55.38072866,BAP367,2134.785714,3.572678668,49.91871144,2.552803315
652,82.59270885,17,55.85878328,BAP367,2045.333333,0.6157337827,47.39357367,1.494943901
653,288.140984,19,59.54333493,BAP368,2006.8,3.947957716,45.34928713,8.384583216
654,157.9838248,11,55.40515071,BAP369,1593.0,2.345011258,40.04508117,11.6708745
655,252.8668279,15,60.99969879,BAP370,2102.285714,4.813148771,46.81224593,4.813270478
656,27.45141612,14,44.91155324,BAP370,189.5555556,3.776008305,19.38159015,9.247268627
657,220.4663906,20,49.06838663,BAP371,1417.210526,3.702866921,37.76527169,4.144640862
658,168.5233547,17,54.77220405,BAP372,1681.4375,2.577942899,39.74174828,2.663086532
659,157.2084106,16,56.38771129,BAP372,1795.125,2.697434746,41.15751979,2.537327783
660,22.04415198,22,51.75836914,BAP373,188.7647059,4.118692019,17.90403208,12.67980725
661,24.55088784,22,62.9856693,BAP373,186.4375,4.803525567,15.870794,14.03523962
662,203.3200679,21,48.59562272,BAP374,1429.5,2.376821941,37.97112546,3.782820776
663,95.7213194,20,48.67940215,BAP374,1482.388889,1.556563379,39.227099,2.701846393
664,19.61858529,13,54.12442848,BAP375,182.6666667,3.798465125,14.48376739,10.81373785
665,90.47538646,26,64.84433278,BAP375,265.9333333,6.196576891,23.35189053,17.24423788
666,61.0757557,24,53.81972979,BAP376,251.5454545,6.553186977,25.53387648,13.82558899
667,61.37132881,15,48.75473632,BAP376,286.6,3.737991232,24.76303847,8.816829915
668,59.98642425,21,76.01921554,BAP377,234.4375,4.695427032,17.25417374,23.6608906
669,120.4579213,25,46.655664,BAP378,1430.315789,2.080381785,39.21048951,2.419636024
670,98.88886849,20,45.45284376,BAP378,1361.210526,1.83075478,38.3897703,2.218257711
671,224.0066963,19,51.8033497,BAP379,1830.0,2.832654359,45.2678576,3.516035271
672,218.4216742,21,51.03602993,BAP379,1807.833333,3.010431641,45.36346201,3.111013431
673,193.3478114,23,51.11707499,BAP380,1753.434783,2.490158387,44.01717634,3.527347025
674,206.6128701,25,51.49904175,BAP380,1736.409091,2.91817142,43.39575986,3.498134647
675,163.8246013,15,49.14608982,BAP381,1172.0,1.715003327,31.1504126,4.968334396
676,153.7872584,16,56.3212056,BAP382,2274.75,1.795574168,52.35281505,1.484290439
677,145.3777608,16,56.60211822,BAP382,2275.2,1.774712674,51.97380079,1.823937193
678,317.0534092,19,50.21478242,BAP383,1798.631579,4.400456098,45.79045786,4.267996651
679,302.9979308,19,49.32380641,BAP383,1736.5625,4.611855351,45.06667403,3.870477076
680,148.1472578,16,50.12528314,BAP384,1649.7,2.160966686,42.36868035,2.522876927
681,66.51502477,15,51.06098008,BAP384,1721.461538,1.536804908,43.32246488,1.280529624
682,121.5,18,64.01829417,BAP385,2040.5,0.961463626,43.76469519,6.364861945
683,383.7610715,17,60.3166497,BAP385,1856.2,6.98236473,42.93548458,0.8786325247
684,205.9983286,29,60.77022644,BAP386,1748.148148,3.111145758,37.17400707,3.817297091
685,213.1861009,27,60.67808736,BAP386,1755.615385,2.928115855,37.25229759,4.03580098
686,187.2379829,55,47.77750325,BTX623,1612.4,2.722905103,43.47003945,2.891303234
687,187.7094464,55,47.84634802,BTX623,1615.431818,2.750525324,43.48482788,2.854510289
688,186.2051091,49,48.31636077,BTX623,1623.268293,2.956554867,43.22228965,2.538786707
